Question,Answer
Hi.,Hello! How can I assist you today?
I need help with my recent order.,Sure! What seems to be the issue with your order?
The food is spoiled.,Iâm sorry to hear that. Please upload an image for verification.
"Sure, here is the image.",Thank you! Let me check it now.
Thank you. How do I get my refund?,Refund initiated. Amount will be credited within 5-7 business days.
"Great! Also, can I cancel my order if I face similar issues?","Yes, you can request refunds or cancellations anytime."
Will I get a full refund or partial refund?,"If verified, youâll receive a full refund."
What if I receive the wrong order?,You can request a refund or replacement for wrong orders.
Do I need to provide proof for wrong orders?,"Yes, please upload an image of the received order."
What if my food is delayed but arrives properly?,We donât refund for delays unless food is spoiled.
Thanks for your help.,Youâre welcome! Have a wonderful day!
"Actually, the food is not spoiled.",The image shows food is not spoiled. Refund isnât applicable.
Can I still cancel my order?,Cancellation isnât allowed unless specific issues are present.
What if I cancel before the food is prepared?,Orders can be canceled before preparation starts.
What happens if my order is missing items?,You can report missing items and request a refund.
"Alright, thanks.",You're welcome! Let us know for further assistance.
Can I request a replacement instead of a refund if I have issues next time?,"Yes, replacements are available as an alternative to refunds."
What if the issue happens again after a replacement?,Weâll investigate and provide another replacement or refund.
Do I need to return the spoiled food?,No return required. Discard spoiled food for safety.
How can I contact you in the future for similar issues?,"Use chat, call, or email support@foodservice.com."
Can I change my delivery address after ordering?,Address changes are allowed before dispatch.
What if my food is delivered to the wrong address?,Contact support immediately to resolve delivery issues.
Do you offer discounts for frequent issues?,We may offer coupons based on issue frequency.
What if my order is taking too long?,Check the tracking link or contact support for updates.
Can I schedule my order for later delivery?,"Yes, you can schedule a delivery time during checkout."
What payment methods do you accept?,"We accept credit cards, debit cards, and digital wallets."
Can I tip the delivery person?,"Yes, tipping is available in the app or in cash."
How do I know if my order is confirmed?,You will receive an order confirmation email or notification.
Can I change items in my order after placing it?,Changes can be made before the order is prepared.
What if I accidentally placed a duplicate order?,Contact support immediately to cancel the duplicate.
How do I check my order status?,Use the order tracking feature in the app or website.
What if my payment fails?,Retry payment or use another method. Contact support if needed.
Do you offer cash-on-delivery?,"No, we currently only accept online payments."
Can I add special instructions for my order?,"Yes, you can add instructions at checkout."
How do I know if a restaurant is open?,Check the restaurant's availability in the app.
What if my order is canceled by the restaurant?,You will receive a full refund.
How do I report poor food quality?,Upload an image and contact support for assistance.
What if I am not home during delivery?,Contact support to reschedule or request doorstep delivery.
Can I get an invoice for my order?,"Yes, invoices are available in the order history section."
Can I order from multiple restaurants at once?,"No, each order must be placed separately."
What if I have dietary restrictions?,Check restaurant menus for dietary options before ordering.
How do I leave a review for my order?,You can leave a review in the app after delivery.
Can I request contactless delivery?,"Yes, choose the contactless delivery option at checkout."
What if my food packaging is damaged?,Upload an image and request a refund or replacement.
How do I update my contact details?,Edit your profile in the app settings.
Can I reorder my previous orders?,"Yes, reorder from your order history in the app."
What if I have an allergy concern?,Check with the restaurant before ordering.
How do I refer a friend for rewards?,Use the referral section in the app.
Can I request a specific delivery person?,"No, assignments are automated based on availability."
What if my promo code isnât working?,Ensure it is valid and meets the conditions.
What if I forgot my account password?,Use the forgot password option to reset it.
